crop,region,soil_type,rainfall_mm,avg_temp_c,humidity_pct,sunlight_hours,soil_ph,soil_nitrogen_kg_ha,soil_phosphorus_kg_ha,soil_potassium_kg_ha,soil_organic_matter_pct,fertilizer_kg_ha,irrigation_mm,pesticide_l_ha,ndvi,planting_density_k_per_ha,days_to_harvest,yield_tons_per_ha
Wheat,West,Clayey,308.5,22.6,53.9,5.93,6.76,53.3,22.9,38.9,2.3,252.7,272.6,1.14,0.742,56.3,152,3.754
Soybean,Central,Sandy,1080.0,26.8,89.5,8.62,6.54,49.2,20.7,65.8,3.05,130.1,193.9,2.29,0.712,105.0,107,2.234
Soybean,West,Loamy,953.2,31.4,64.1,8.7,7.12,54.0,5.5,62.2,3.45,154.4,342.1,3.23,0.771,88.4,95,1.979
Maize,East,Loamy,787.6,23.6,51.2,6.33,6.23,22.8,43.5,65.0,1.74,142.6,407.3,2.22,0.461,70.1,101,4.216
Maize,East,Clayey,741.5,23.2,44.9,10.1,6.64,78.0,27.2,58.6,2.16,193.1,207.7,0.0,0.548,60.7,143,5.131
Cotton,South,Clayey,1045.2,20.2,36.0,5.94,6.92,74.3,47.7,36.5,2.37,91.7,137.4,1.98,0.529,52.4,126,1.738
Wheat,South,Clayey,1002.8,9.8,47.5,8.54,7.83,32.7,39.1,45.7,3.78,90.0,202.6,2.58,0.306,55.8,118,2.974
Soybean,West,Loamy,989.5,24.4,71.4,9.18,7.59,58.7,41.0,42.2,4.83,116.2,247.2,1.63,0.51,67.6,115,2.083
Rice,North,Clayey,814.2,19.7,53.6,4.96,7.39,27.7,34.6,56.7,4.86,185.1,482.2,2.32,0.626,23.2,102,4.449
Wheat,North,Loamy,612.7,17.5,45.6,7.87,7.01,51.3,36.7,44.9,4.27,212.3,131.5,2.26,0.757,98.1,141,4.004
Maize,South,Loamy,891.8,26.5,47.3,2.91,6.2,17.1,29.3,41.6,1.76,144.4,96.7,0.9,0.678,86.3,124,5.11
Cotton,West,Sandy,904.0,15.3,69.7,8.24,7.01,45.6,30.4,68.2,2.12,185.5,332.6,3.2,0.506,88.4,164,1.662
Soybean,West,Clayey,652.3,28.8,58.8,5.35,5.96,42.7,26.9,40.4,4.39,180.5,214.6,1.71,0.744,92.7,119,2.351
Soybean,East,Clayey,612.2,26.9,50.6,7.85,6.36,67.4,58.2,36.3,4.53,146.5,181.0,1.67,0.646,79.3,126,2.323
Soybean,East,Silty,983.3,21.6,55.4,8.13,7.74,75.0,35.2,39.4,3.8,145.1,378.0,2.45,0.355,84.3,108,2.039
Soybean,North,Silty,1116.0,23.6,93.1,8.68,6.88,75.4,12.8,60.0,3.81,195.8,310.9,0.39,0.631,79.1,104,2.126
Maize,South,Sandy,512.7,16.9,78.3,8.34,6.66,67.4,43.1,47.6,2.57,264.9,420.6,3.27,0.722,109.1,118,5.217
Wheat,North,Silty,634.2,28.5,82.0,7.08,6.75,51.2,30.4,51.4,4.72,209.3,388.1,1.02,0.685,61.9,150,2.764
Cotton,West,Loamy,787.7,25.1,33.7,6.43,6.43,55.8,39.5,48.3,2.27,222.2,155.0,3.81,0.428,96.6,108,1.797
Maize,West,Silty,821.6,25.6,57.7,6.89,4.99,55.8,36.8,14.3,1.39,272.3,98.5,3.13,0.463,58.4,108,5.046
Maize,South,Sandy,569.4,27.0,50.3,5.33,5.61,32.3,57.9,30.0,3.8,108.1,434.3,0.99,0.916,56.7,84,4.943
Rice,South,Silty,1170.9,20.1,68.2,6.68,6.93,67.2,35.4,41.1,2.42,192.1,285.1,2.33,0.469,50.5,182,4.189
Wheat,South,Silty,805.5,14.9,75.9,6.56,5.86,60.4,49.8,49.4,1.7,237.4,661.8,1.04,0.614,41.4,105,3.351
Cotton,Central,Clayey,832.8,29.7,64.9,5.82,6.42,61.0,48.5,31.2,3.88,206.4,416.0,0.91,0.227,85.0,84,1.669
Soybean,East,Silty,1139.7,28.1,46.9,4.39,5.64,15.8,23.6,30.8,1.17,114.1,464.5,0.0,0.802,59.3,124,1.933
Soybean,West,Loamy,587.7,20.8,50.1,5.08,6.0,56.8,42.3,40.6,3.45,102.2,186.7,2.63,0.724,86.5,126,2.408
Maize,East,Loamy,677.9,26.5,69.3,2.27,6.5,65.1,30.9,63.6,2.55,248.0,289.9,1.54,0.865,112.7,140,5.101
Cotton,West,Clayey,386.7,31.5,70.8,6.54,7.15,49.8,25.5,14.9,4.6,174.9,397.0,2.79,0.448,70.8,125,2.083
Maize,East,Clayey,656.9,30.8,62.1,7.54,7.29,42.5,25.5,7.9,3.46,168.3,289.9,2.23,0.789,87.3,76,5.314
Maize,South,Loamy,327.8,20.6,61.9,2.98,5.99,29.6,49.9,69.3,4.07,151.2,306.7,0.78,0.45,100.6,101,5.567
Maize,Central,Clayey,887.0,15.1,60.8,7.36,6.71,28.5,71.7,23.6,1.92,240.6,329.2,2.84,0.838,85.8,147,4.256
Rice,West,Loamy,805.0,16.1,64.0,6.82,5.5,52.3,30.3,39.3,1.31,208.4,213.1,2.52,0.244,82.5,143,4.385
